Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Cobble Hill,Brooklyn,neighborhood,1900,2025,2000,2100,2275,2200,2300,2395,2385,,,,,2400,2450,,2600,2600,2600,,,,,2700,2700,2700,2550,2600,2500,2362.5,2550,2590,2700,2600,2620,2640,2500,2600,2550,2350,2550,2500,2600,2600,2725,2700,2500,2475,2650,2762.5,2762.5,2600,2600,2800,2800,2685,2900,2750,2700,2500,2700,2700,2525,2890,2575,2550,2600,2825,2900,2575,2650,2500,2700,2825,2700,2800,2875,2800,2600,2687.5,2550,2575,2537.5,2537.5,2600,2600,2500,2450,2500,2507
College Point,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia St Waterfront District,Brooklyn,neighborhood,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2700,2700,2450,,2100,2100,1825,1943.5,2120,2200,2150,2200,2200,2200,2250,2225,2225,2250,2200,,,,2700,2750,2300,2287.5,2300,2300,2372.5,2350,2300,2300,2197.5,2150,2197.5,2200,2200,2300,2300
Concourse,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1100,1050,,,,1250,,1249.5,1150,1200,1350,1150,1150,1300,1312.5,,,,,,,,,,,1375,,1375,1375,1325,1402,1385.5,1399.5,1150,1350,1260,1250,1295,1295,,,,,1350,1350,1325,1300,1350,1350,1350,1300,1300,1325,,1350,1350,1370,1425,1487.5,1525,1495,1495,1450,1495,1495,1399.5,1400,1497,1499.5,1500
Coney Island,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1775,,1860,,,1950,1925,,,1850,1925,,,1910.5,1832,1855.5,,,1749,1762,1787,1850,,1974.5,,1975,1899
Corona,Queens,neighborhood,1112.5,,,,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1493,1500,1500,1497.5,,,1550,1525,1550,1575,1595,1650,1650,1650,1650,1650,1650,1650,1650,1612.5,1695,1760,1785,1785,1780,1755,1847.5,1777.5,1860,1790,1780,1780,1765,1767.5,1802.5,1800,1800
Country Club,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crotona Park East,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crown Heights,Brooklyn,neighborhood,1795,1900,1925,1900,1675,1425,1400,1300,1400,1400,1460,1430,1460,1350,1350,1350,1425,1455,1500,1455,1590,1590,1600,1500,1525,1600,1625,1662.5,1682.5,1587.5,1600,1775,1700,1512.5,1600,1600,1600,1700,1600,1600,1662.5,1700,1795,1750,1700,1675,1600,1595,1600,1500,1600,1700,1700,1850,1912.5,1900,1750,1700,1700,1655,1650,1650,1650,1649,1700,1700,1775,1950,1900,1800,1800,1800,1800,1850,1897.5,1900,1982.5,1900,1900,1950,1950,1970,1823,1900,1900,1950,1900,1995,1975,1995
DUMBO,Brooklyn,neighborhood,2997.5,3000,3000,2875,2825,2750,3200,3250,3300,3000,3300,3275,3295,3272.5,3297.5,3000,3000,3000,3000,3200,3337.5,3550,3100,3050,3100,3100,3100,2900,2972.5,3100,3200,3400,3447.5,3550,3575,4075,4000,3350,3400,3400,3375,3400,3475,3650,3650,3400,3400,3400,3650,3600,3575,3675,3700,3725,3700,3750,3650,3708,3790,3650,3700,3685,3775,3741.5,3800,3995,3716.5,3750,3762,3826,3750,3882,3900,3858,3810,3937.5,4000,3800,3977.5,3675,3762,3743.5,3872,3599,3599,3809.5,3759,3775,3750,3730
Ditmars-Steinway,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ditmas Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,1450,1450,,1425,1425,,,1400,1400,1495,1472.5,1512.5,1700,,1650,1600,1525,1500,,,,1500,,1550,1500,1550,1512.5,1400,1450,1487.5,1500,1550,1512.5,1500,1563.5,1575,1500,1495,1547.5,1550,1550,1550,1500,1600,1600,1600,1600,1650,1600,1600,1700,1795,1800,1650,1700,1797.5,1772.5,1700,1750,1700,1650,1799,1750,1797,1800,1750,1825,1750
Douglaston,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downtown Brooklyn,Brooklyn,neighborhood,1976,2102,2105,2201,2407.5,2418,2474,2462,2530,2505,2516.5,2446,2500,2450,2356,2411,2349.5,2500,2500,2500,2484.5,2470,2480,2580,2307,2338,2406,2410.5,2451,2556,2550,2500,2708.5,2658,2800,2910,2897.5,2900,2900,2892.5,2897.5,2785,2850,2900,2787.5,2775,2750,2784.5,2800,2950,2991,2952,3000,2950,2954,3020,3020,3000,3032.5,2995,3039.5,3195,3325,3240,3300,3205,3160,3179.5,3195,3145,3095,3122.5,3094,3090,3129,3091.5,3050,3090,3175,3093,3077.5,3071,3030,3025,3041,3089,3065,3100,3145,3148.5
Dyker Heights,Brooklyn,neighborhood,,,,,,,,,,,,,,,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,1325,,,,1349.5,,,,,,,,,,,,,,1475,1475,1450,,,,,,,,,,,1450,1475,1500
East Brooklyn,Brooklyn,submarket,1575,1525,1500,1500,1500,1400,1400,1399,1437.5,1500,1450,1460,1500,1477.5,1550,1455,1495,1397.5,1450,1412.5,1450,1500,1600,1425,1425,1500,1525,1595,1600,1575,1575,1550,1550,1500,1600,1555,1500,1700,1700,1700,1685,1700,1700,1750,1700,1700,1700,1700,1700,1685,1700,1750,1795,1800,1800,1800,1800,1796.5,1799,1700,1700,1750,1750,1800,1850,1895,1900,1975,1900,1895,1862.5,1875,1900,1900,1912.5,1999,2000,2000,2000,2050,2000,2000,1957.5,1995,1995,1999,1995,2000,2000,2050
East Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Harlem,Manhattan,neighborhood,1600,1600,1600,1600,1685,1872.5,1800,1850,2125,1825,1809,2012.5,1985,1800,1800,1800,1745,1799.5,1812.5,1900,1812.5,1812.5,1837.5,1837.5,1850,1945.5,1950,2000,1975,1850,1850,1900,2050,2095,1995,2000,1897.5,1950,1881.5,1825,1872,1825,1895,1722.5,1700,1599,1662.5,1675,1775,1750,1750,1800,1750,1695,1750,1750,1700,1725,1725,1725,1700,1725,1875,1899,1900,1900,1900,1875,1895,1850,1850,1800,1850,1885,1950,1898.5,1995,1950,1950,1950,1950,1950,2012,2000,2100,2215,2197,2141,2199.5,2100
East New York,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.5,,,,,,,,,,,1275,,1250,1325,,,2099,2149.5,1674.5,,,,,,1450,1425,,,,,,,1437.5,1500,1450,1499,1500,1500,1600
East Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,,,1100,1100,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Village,Manhattan,neighborhood,2395,2300,2200,2400,2519.5,2295,2290,2300,2300,2500,2600,2700,2600,2500,2497.5,2400,2625,2500,2625,2525,2625,2550,2595,2500,2795,2650,2600,2795,2895,2750,2700,2795,2695,2795,2775,2750,2750,2750,2795,2840,2750,2800,2700,2895,2825,2797.5,2725,2700,2712.5,2700,2750,2700,2750,2700,2700,2700,2695,2595,2575,2645,2600,2550,2600,2600,2650,2695,2695,2795,2795,2795,2795,2799,2850,2895,2895,2825,2850,2865,2800,2795,2795,2795,2795,2725,2750,2888,2795,2800,2800,2795
Eastchester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edenwald,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,1550,,,,,,,,1550,1550,,1950,1950,1950,1900,1900,1850,1850,1600,1722.5,2100,2100,2030,1939.5,1768,1662.5,1722.5,1924.5,1950,,1737.5,1800,1800,1850,1600,1595,1650,1650,1650,1650,1675,1650,1887.5,1662.5,1595,1925,1750,1675,1650,1700,1699.5,1700,1750,1675,1675,1775,1750,1750,1700,1750,1700,1650,1550,1675,1762,1775,1800,1803
Financial District,Manhattan,neighborhood,3200,3200,3325,3400,3462.5,3397.5,3300,3300,3165,3250,3102.5,3086,3199,3315,3350,3395,3400,3475,3500,3495,3495,3495,3450,3400,3450,3425,3395,3595,3572.5,3600,3750,3600,3659.5,3505,3650,3550,3500,3500,3475,3450,3495,3450,3450,3450,3410,3385,3591,3600,3550,3572,3615,3610,3750,3800,3785,3825.5,3835,3750,3671.5,3669,3700,3800,3799.5,3881.5,3895,3845,3900,3800,3790,3740,3660,3650,3750,3797.5,3783,3797.5,3795,3800,3840,3842.5,3775,3750.5,3650,3653,3653,3700,3720,3800,3837,3810
Flatbush,Brooklyn,neighborhood,,,,,,,,,1125,,,,,,,,,,,,,1250,1250,,,,,,,,,1362.5,1362.5,1250,1225,,1202.5,1300,1200,1200,1200,1385,1338,1338,1350,1350,1375,1350,1350,1400,1400,1362.5,1350,1385,1400,1450,1500,1500,1475,1400,1399.5,1450,1500,1450,1400,1450,1500,1500,1449.5,1475,1500,1500,1550,1562.5,1500,1500,1550,1600,1600,1650,1668,1675,1650,1650,1662.5,1650,1695,1697.5,1650,1650
Flatiron,Manhattan,neighborhood,3547.5,3595,3472.5,3600,3650,3625,3800,3647.5,3595,3595,3497.5,3825,3895,3937.5,3997,4000,4000,3925,4095,3995,4150,3850,3800,4100,3800,3950,3925,3750,4200,4200,3995,3950,3950,3873,3895,3895,3847.5,3895,3737.5,3800,3895,4225,4200,4197.5,4290,4295,4000,4195,4200,4400,4350,4397.5,4395,4200,4295,4395,4390,4235,4255,4250,4395,4595,4900,4870,4900,4895,4800,4795,4797.5,4795,4650,4687.5,4600,4770,4650,4650,4600,4700,4685,4595,4585,4600,4550,4500,4475,4450,4495,4500,4595,4595
Flatlands,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floral Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flushing,Queens,neighborhood,1250,1275,1275,1250,1300,1275,1300,,,1275,,1250,1295,,1275,1275,1275,1295,1295,1362.5,1350,1295,1262.5,,,,,1300,1325,1350,1375,1350,1350,1350,1362.5,1350,1337.5,1350,1300,1400,1350,1350,1337.5,1400,1450,,1472.5,1425,1400,1402.5,1397.5,1437.5,1475,1495,1550,1580,1575,1475,1400,1500,1500,1500,1425,1550,1575,1537.5,1550,1595,1650,1600,1575,1500,1550,1700,1700,1750,1700,1700,1675,1700,1662.5,1650,1650,1675,1700,1725,1696,1696,1699.5,1725
Fordham,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1187.5,,,,1225,1200,,,1250,1300,1300,1300,1275,1312.5,1275,1275,1375,1350,1350,1350,1345,1400,1400,1400,1350,1400,1425,1450,1450
Forest Hills,Queens,neighborhood,1572.5,1550,1550,1550,1500,1575,1600,1650,1550,1575,1575,1531,1512,1500,1575,1612.5,1637.5,1625,1625,1675,1687.5,1675,1650,1662.5,1600,1600,1795,1795,1800,1797.5,1725,1795,1795,1712.5,1650,1650,1650,1650,1550,1597.5,1662.5,1700,1750,1787,1762.5,1800,1750,1700,1725,1750,1800,1762.5,1750,1850,1825,1800,1850,1800,1800,1800,1950,2000,1950,1875,1850,1850,1895,1937.5,1925,1837.5,1850,1850,1812.5,1800,1800,1900,1900,1900,1850,1895,1924.5,1900,1899,1899.5,1850,1900,1900,1895,1875,1900
Fort Greene,Brooklyn,neighborhood,2050,1987.5,1975,1995,1925,1987.5,2050,2100,2000,2250,2275,2262.5,2262.5,2275,2075,2295,2197.5,2297.5,2362.5,2297.5,2325,2337.5,2500,2425,2500,2499.5,2400,2400,2450,2450,2475,2450,2397.5,2322.5,2295,2450,2550,2600,2600,2322.5,2395,2350,2495,2500,2447.5,2395,2500,2550,2500,2572.5,2500,2595,2700,2650,2600,2600,2500,2500,2550,2600,2600,2550,2600,2600,2550,2525,2672.5,2700,2600,2595,2600,2600,2600,2600,2675,2600,2695,2750,2700,2725,2800,2780,2700,2550,2625,2662.5,2800,2900,2900,2800
Fresh Meadows,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerritsen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Oaks,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,,,1650,1650,1650,1650,1750,1600,1600,1599,,1500,1525,1550,1700,1550,1599.5,1600,,1562.5
Gowanus,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,2150,,2940,,,,,,,,,,,,,,,,2775,2500,2400,3000,3067,3033.5,2950,2875,2644,2644,2500,2325,2450,2475,2500,2500,2200,,2550,2550,2700,2200,2250,2200,2500,2500,2500,2500,2500,2500,2550,2600,2500,2675,2675,2400,2100,2100,2600,2400,2800,3000,3037,2497.5,2750,3176,3000,2867,2991,2991,2500,2500,2650,2400,2500,2695
Gramercy Park,Manhattan,neighborhood,3200,3125,3100,3200,3250,3100,3200,3225,3300,3300,3400,3375,3195,3275,3250,3150,3100,3400,3300,3250,3400,3500,3497.5,3472.5,3395,3395,3447.5,3350,3350,3425,3250,3200,3295,3500,3500,3425,3200,3497.5,3500,3500,3500,3450,3495,3350,3572.5,3497.5,3500,3562.5,3500,3447.5,3495,3497.5,3400,3595,3500,3495,3500,3550,3500,3600,3700,3550,3000,3250,3389.5,3650,3600,3500,3625,3500,3500,3550,3700,3795,3850,3875,3800,3712.5,3795,3750,3600,3500,3200,3300,3450,3652.5,3595,3700,3500,3500
Gravesend,Brooklyn,neighborhood,,,,,,,,,,,,,1247,1215,,,,,,,,,,,,,,,,,,,,1237.5,1225,,1375,1362.5,1325,1350,1375,1375,1393,1362.5,1337.5,1350,1375,1325,1325,1450,1397.5,1385,1400,1400,1400,1400,1362.5,1400,1495,1425,1450,,1450,1425,1500,1512.5,1499,1524.5,1499,1300,1475,1400,1475,1500,1537.5,1685,1687.5,1600,1562.5,1600,1625,1600,1599,1599,1600,1600,1600,1597.5,1600,1650
Greenpoint,Brooklyn,neighborhood,1950,1950,1950,1899.5,1997.5,1875,1900,1875,2350,2500,2400,2350,2000,1950,,1800,1800,2000,2200,2000,2000,2500,2150,1950,2047.5,2150,2100,2000,2300,2200,1997.5,2100,2200,2000,2100,2200,2000,2000,2200,2200,2200,2350,2350,2350,2495,2400,2300,2399.5,2495,2447.5,2300,2400,2500,2500,2500,2500,2500,2400,2475,2350,2237.5,2325,2300,2500,2450,2499.5,2500,2500,2500,2550,2400,2300,2328.5,2350,2400,2522.5,2500,2550,2500,2400,2450,2500,2499.5,2400,2395,2400,2400,2499,2499,2550
Greenwich Village,Manhattan,neighborhood,3200,3200,3000,3000,3000,3122.5,3000,3000,3595,3700,3397.5,3400,3400,3650,3250,3250,3400,3295,3097.5,3397.5,3700,3525,3550,3595,3650,3500,3600,3700,3600,3450,3500,3500,3625,3585,3475,3450,3450,3500,3600,3500,3462.5,3495,3597.5,3500,3497.5,3550,3650,3680.5,3750,3850,3825,3750,3812.5,3600,3372.5,3397.5,3500,3750,3895,3850,3895,3850,3800,3697.5,3695,3525,3600,3999.5,4100,4200,4000,4095,3950,3795,3797.5,3875,3700,3750,3795,3700,3795,3950,3800,3850,3850,3900,3900,3800,3712.5,3675
Greenwood,Brooklyn,neighborhood,1700,,,,1775,1750,,,,,,,,1395,,,,,,,,,,,,,1625,1600,1550,,,,,,,,,,,,1672.5,1875,1875,1887.5,2050,1875,1725,1800,1725,1800,1787.5,1762.5,1800,1820,1850,1850,1895,1712.5,1700,1750,1750,2000,2000,2000,2000,1955,1995,2025,2000,1900,1950,1997,2024.5,1950,2000,2000,1900,1899,1900,1972.5,1925,1800,1950,1925,1850,1985,1974,1987.5,1995,2000
Hamilton Heights,Manhattan,neighborhood,1400,1450,1500,1497.5,1495,1575,1450,1397.5,1575,1587.5,1587.5,1622.5,1595,1562.5,1595,1600,1599,1580,1700,1700,2062.5,1962.5,1875,1875,1800,1650,1575,1575,1750,1725,1650,1700,1575,1672.5,1700,1699.5,1600,1600,1575,1572.5,1600,1600,1597.5,1750,1800,1700,1600,1600,1600,1650,1550,1750,1800,1800,1699,1700,1750,1850,1895,1800,1700,1797.5,1795,1700,1850,1850,1850,1850,1795,1785,1800,1795,1800,1800,1900,1850,1812.5,1850,1897.5,1850,1850,1900,1900,1899,1899.5,1900,1895,1897.5,1900,1900
Highbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,1495,,,1495,1495
Hillcrest,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollis,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard Beach,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,,,,,,,,,,,,,,,,,,,
Hunts Point,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwood,Manhattan,neighborhood,1125,1150,1195,1256,1274.5,1250,1299,,,1450,1500,1375,1500,1550,1550,1475,1350,1350,1350,1350,,1450,1350,1400,1412.5,1425,1450,1402.5,1387.5,1377.5,1400,1462.5,1412.5,1312.5,1300,1345,1362.5,1350,1387.5,1372.5,1350,1495,1425,1437.5,1497.5,1450,1425,1450,1450,1475,1475,1475,1475,1450,1500,1512.5,1537.5,1537.5,1550,1500,1500,1500,1500,1499.5,1537.5,1595,1595,1600,1575,1625,1637.5,1650,1650,1650,1597.5,1600.5,1650,1662.5,1697.5,1600,1650,1641.5,1645,1675,1600,1600,1650,1695,1725,1725
Jackson Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,1350,1375,1300,1312.5,,,,,,,,,,,1448,,,,,,1445,,1450,1650,1500,,,1475,1550,1500,1512.5,1500,1550,1600,1700,1700,1700,1700,1675,1650,1625,1700,1700,1700,1700,1700,1725,1700,1700,1700,1772.5,1700,1797.5,1725,1750,1750,1775,1800,1800,1772.5,1800,1800,1800,1800,1742,1750,1800,1775,1762.5,1775,1800,1750,1800,1800
Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833,1816.5,1833,1875,1950,1975,1937.5,2383
Jamaica Estates,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1599,,,1650,1650,1562.5,,,1572.5,,1625,,,,,1695,1625,1612,,,,,,1650
Jamaica Hills,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
