Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
Prospect Heights,Brooklyn,neighborhood,1950,1600,1600,1600,1637.5,1800,1830,1800,1750,1800,1950,1550,1800,1850,1800,2075,2125,2100,2150,2400,2150,2125,2150,2150,2100,1795,1795,2100,2300,2250,2050,2155,,2050,2100,2100,2000,2200,2150,2150,2122.5,2195,2200,2250,2250,2250,2250,2225,2250,2272.5,2225,2297.5,2395,2300,2275,2300,2250,2300,2300,2297.5,2300,2400,2350,2500,2425,2500,2450,2325,2450,2400,2450,2400,2350,2500,2550,2550,2470,2550,2400,2400,2495,2462.5,2350,2400,2400,2400,2450,2572.5,2650,2660
Prospect Lefferts Gardens,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,1250,1325,1325,,,,,,1287.5,,,,1322.5,1305,1325,1350,1350,,,1400,1400,,,,,,,1600,1550,,1400,1500,1450,1450,1569,1525,1550,1550,1500,1525,1575,1597.5,1500,1525,1500,1550,1580,1600,1600,1595,1600,1600,1647.5,1625,1600,1650,1736,1682.5,1675,1699,1750,1900,1900,1900,1900,1850,1842.5,1792.5,1800,1800,1750,1750,1795
Prospect Park,Brooklyn,submarket,1900,1800,1790,1800,1800,1850,1875,1850,1897.5,1900,1800,1800,1850,1900,1900,1985.5,2000,2100,2025,2000,2100,2150,2212.5,2225,2237.5,2172.5,2200,2250,2200,2200,2000,2022.5,2100,2100,2000,2150,2100,2150,2150,2150,2200,2275,2300,2300,2300,2345,2300,2250,2250,2229,2200,2275,2300,2300,2300,2300,2300,2300,2250,2272.5,2375,2300,2300,2398,2300,2250,2250,2300,2395,2395,2395,2395,2400,2400,2400,2450,2400,2395,2350,2300,2300,2300,2300,2300,2300,2350,2335,2395,2400,2400
Prospect Park South,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1312.5,1262.5,,,1425,1325,1350,1450,1550,1550,,2300,2087.5,1900,2105.5,2273,2100,2186,2000,2100,1572.5,1650,1585,1650,1795,1749.5,1650,1650,1650,1650,1700,1962.5,1700,1850,1925,1825,1950,1850,1895,1850,1795,1795,1875,1850,1750,1749.5,1650,1700,1785,1925,1785
Queens,Queens,borough,1450,1475,1480,1450,1400,1400,1450,1472.5,1400,1425,1400,1350,1350,1350,1475,1500,1575,1599,1550,1625,1650,1550,1595,1600,1600,2750,2595,2400,2600,2595,2500,2450,2097.5,1950,1850,1895,1695,1750,1695,1725,1800,1900,1999.5,2075,2100,2037.5,1870,1800,1800,1800,1800,1800,1780,1875,1850,1850,1825,1850,1800,1795,1800,1800,1800,1800,1850,1850,1875,1900,1895,1850,1850,1850,1875,1900,1900,1975,1995,1999,1950,2000,1975,1950,1950,1949.5,1900,1875,1895,1880,1875,1875
Queens Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensboro Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.5,1650,,,,,,,,,,,,,,,1425,,,1875,1850,,,,,1650,,1780,1700,1637.5,1650
Red Hook,Brooklyn,neighborhood,1400,1500,1500,1700,1825,1700,2400,2175,1425,1450,1487.5,,1650,,,,,,,,,,,,,,1950,,1950,2000,,,,,,2300,2100,,,,,2500,1775,,,,,,,1900,2200,2400,2500,2500,2300,2237.5,2000,1872.5,1900,2050,,1775,1800,1800,2300,2000,2000,2299,1800,2399.5,2500,2424.5,2287.5,2200,,,1995,2200,,,,,,2200,2300,,,,2535,2499
Rego Park,Queens,neighborhood,1375,1412.5,,1325,1362.5,,,,,1350,1350,1350,1350,1350,1387.5,1362.5,1375,1400,1400,1400,1400,1400,1400,1474.5,1500,1550,,,,,1450,1450,1450,1450,1450,1500,1500,1500,1525,1400,1400,1450,1600,1650,1625,1700,1600,1638.5,1620,1606,1550,1662.5,1725,1725,1750,1800,1850,1850,1850,1812.5,1925,1850,1875,1900,1899,1850,1850,1825,1797.5,1762.5,1800,1800,1895,1900,1950,1950,1875,1800,1849,1900,1850,1830,1895,1895,1900,1870,1800,1800,1800,1800
Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1372.5,,,,,,,,,,,,1460,1495,,,,
Ridgewood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,,,1500,1575,,1550,1625,1625,1600,1800,1950,1975,1925,1925,1800,1712.5,1800,1600,1537.5,1750,1895,1750,1950,1970,1950,1850,1850,1850,1800,1800,1750,1750,1795,1800,1750
Riverdale,Bronx,neighborhood,1600,1575,1500,1475,1500,1600,1700,2500,1600,1500,1500,1500,1475,1450,1550,1550,1550,1475,1500,1450,1462.5,1462.5,1475,1450,1450,1500,1525,1550,1500,1500,1550,1572.5,1500,1500,1500,1525,1550,1600,1650,1600,1625,1600,1597.5,1595,1650,1650,1600,1650,1600,1595,1650,1695,1695,1700,1742.5,1650,1713,1675,1738,1795,1795,1797,1850,1700,1697.5,1800,1726,1795,1772.5,1800,1837.5,1800,1800,1750,1797.5,1800,1800,1800,1797.5,1750,1750,1750,1850,1850,1829,1797.5,1800,1825,1800,1800
Rockaway All,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,1282,1282,1282,1282,1282,1282,1282,1282,1287,1292,1287,,,,1350,1300,,,1350,1425,1347.5,1322.5,1350,1350,1399.5,1350,1374.5,,,,1425,1450,1450,1550,1595,1550,1675,1700,1655,1602.5,1590,1655,,,,1699
Roosevelt Island,Manhattan,neighborhood,2300,2200,2250,2404,2234.5,2192,2169,2300,2304,2312.5,2300,2300,2269,2203.5,2275,2338.5,2475,2450,,,2572.5,2595,2700,2700,,,,,2960,2872.5,2900,2950,2812.5,2775,2525,2612.5,2700,,2900,3000,2700,2700,2700,3072.5,2845,2795,2695,3197.5,3195,3145,3095,2645,3235,3122.5,2995,2995,2947.5,2572.5,2672.5,2725,2800,2800,2800,2995,2841,2995,3237.5,3250,2662.5,2579,2795,3050,3150,3160,3100,2950,3235.5,3271,3100,3100,3097.5,2850,2668,2738,2775,3043,2729.5,2900,3092.5,3295
Rosedale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuylerville,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheepshead Bay,Brooklyn,neighborhood,,1175,,,,,,,,,,,1248,1250,1287.5,1300,1250,1250,1350,1262.5,1400,1312.5,1350,1350,1400,1400,1312.5,1300,1400,1300,1437.5,1400,1400,1400,1400,1400,1400,1400,1425,1475,1400,1400,1400,1400,1375,1400,1472.5,1387.5,1350,1350,1400,1475,1500,1450,1437.5,1400,1400,1500,1490,1490,1450,1400,1487.5,1499,1500,1550,1550,1550,1550,1550,1550,1525,1500,1600,1597,1575,1550,1562.5,1550,1592.5,1625,1600,1600,1597.5,1600,1625,1650,1600,1602,1675
Soho,Manhattan,neighborhood,3000,2997.5,2800,2900,2700,3000,3095,2925,3300,3150,3000,3800,3300,2997.5,2750,3195,3200,3800,4000,3800,3925,3597.5,3700,3800,3825,3850,3950,4250,3975,3800,3447.5,3150,4000,3525,3299,3625,3750,3250,3250,3700,3300,3300,3000,3355.5,3750,3500,3550,3200,3200,3725,3100,3395,3400,3500,3495,2997.5,3295,3600,3600,3250,3350,3350,3750,3495,3772.5,3850,3597.5,3397.5,3597.5,3375,3400,3397.5,3322.5,3250,3599.5,3647.5,3550,3325,3250,3172.5,3450,3500,3300,3325,3350,3200,3400,3550,3500,3397.5
Soundview,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1262.5,1300,1362.5,1287.5,1275,1275,1275,1250,1262.5,1350,,,,,,,,,,,,1425,1450,,,,1412.5,1400,,
South Brooklyn,Brooklyn,submarket,1312.5,1300,1300,1300,1300,1300,1250,1250,1262.5,1295,1300,1249,1250,1275,1275,1300,1300,1300,1300,1300,1325,1350,1300,1300,1350,1345,1325,1350,1362.5,1375,1400,1400,1400,1400,1400,1400,1395,1395,1375,1425,1450,1400,1400,1400,1400,1450,1500,1495,1500,1500,1500,1500,1500,1500,1475,1460,1495,1500,1495,1475,1485,1500,1512.5,1547.5,1525,1550,1550,1595,1600,1595,1600,1595,1600,1600,1600,1600,1622.5,1650,1650,1650,1675,1670,1650,1650,1650,1650,1650,1650,1650,1675
South Jamaica,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Queens,Queens,submarket,,,,,,,,,,,,,,1175,1150,1100,1100,1172.5,1200,,,,,,1399,1429.5,1429.5,1400,1399.5,1429.5,1399.5,,,,,,,,,1408,1595,1395,1450,1475,1475,1425,1425,1352.5,1397.5,1425,1500,1400,1400,1400,1400,1498,1475,1575,1575,1445,1422.5,1697.5,1685,1625,1675,1574.5,1550,1599,1500,1400,1450,1500,1495,1500,1500,1525,1562.5,1575,1600,1650,1650,1675,1650,1599,1595,1550,1650,1795,1700,1650
South Richmond Hill,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springfield Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Albans,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staten Island,Staten Island,borough,900,900,900,887.5,900,925,,,,925,950,950,950,950,975,950,950,,,,,,,,,,,,,,1350,1375,1350,,,,,,,,,1137.5,,,,1175,1150,1150,1150,1160,,,1622.5,1150,1175,,1200,1200,1200,,1200,1250,1250,1275,1285,1370,1500,1734.5,1684.5,1395,1405,1395,,1500,1787.5,2140,2300,2140,2140,1500,1500,1500,1500,1500,1500,1600,1500,1500,1537.5,1500
Stuyvesant Town/PCV,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,3324,3377.5,3377.5,3350,3419.5,3433,,3429.5,3390,3350,3350,3235,3200,3250,3250,3200,2965,2965,2965,,,,3406,3406,3249,3249,3305.5,3323,3411,3467,3377,3149.5,3338,3362,3166.5,3068,3299,3299,3572,3572,3290,3214.5,3335.5,3411,3462,3479,3304.5,3252,3225,3191,3397,3685,3618,3547.5,3530,3540,3584,3570,3558.5,3611,3495,3645,3604,3611.5,3572.5,3667,3408
Sunnyside,Queens,neighborhood,1350,1350,1350,1399.5,1400,1387,1400,1400,1470,1435,1400,1400,1400,1399,1400,1447.5,1422.5,1450,1450,1550,1550,1450,1497.5,1547.5,1597.5,1570,1650,1547.5,1595,1650,1500,1450,1450,1512.5,1500,1500,1500,1495,1500,1525,1637.5,1687.5,1650,1650,1725,1675,1675,1675,1675,1750,1800,1750,1700,1800,1800,1750,1750,1725,1725,1762.5,1775,1775,1750,1862.5,1900,1875,1900,1900,1900,1962.5,1850,1895,1950,1895,1900,1879,1879,1900,1925,1900,1935,1950,1900,1925,1850,1800,1850,1850,1880,1875
Sunset Park,Brooklyn,neighborhood,1200,1200,1200,1200,1225,1200,1200,1200,1287.5,1297.5,1287.5,1150,1050,,,,1350,1350,1350,1350,1350,1350,1350,1312.5,,,1350,,,,,,,,1300,,,1350,1450,1487.5,1547.5,1500,1500,1575,1500,,1495,1400,1400,1450,1475,1522.5,1600,1750,1750,1750,1604,1600,1525,1500,1500,1575,1500,1525,1550,1600,1600,1500,1550,1700,1650,1600,1650,1750,1600,1700,1700,1750,1627.5,1700,1800,1800,1800,1697.5,1700,1750,1725,1700,1700,1647.5
The Rockaways,Queens,submarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,1282,1282,1282,1282,1282,1282,1282,1282,1287,1292,1287,,,,1350,1300,,,1350,1425,1347.5,1322.5,1350,1350,1399.5,1350,1374.5,,,,1425,1450,1450,1550,1595,1550,1675,1700,1655,1602.5,1590,1655,,,,1699
Throgs Neck,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599,,1412.5,1350,1449,1300,1300,1300,1300,1375,,1269.5,1294.5,1300,,,,1375,,,1350,1350,1350,1312.5,1350,1500,
Tribeca,Manhattan,neighborhood,3900,3797,3810,3899.5,3800,3695,3745,3647.5,3572.5,4000,3895,3995,4200,3847.5,3895,3997.5,3900,3995,4400,4350,3975,4000,4195,4160,4200,4322.5,4297.5,4450,4260,4397.5,4047.5,4250,4325,4595,4472.5,4275,4225,4200,4322.5,4250,4495,4595,4795,4500,4495,4022.5,4250,4300,4100,4247.5,4247.5,4295,4347.5,4397.5,4495,4425,4195,4395,4350,4595,4495,4495,4737.5,5160,5105,5000,5010,5307.5,4795,4595,4545,4595,4495,4777,4850,5000,4788.5,4695,4995,5030,5000,5000,4690,4911.5,4595,4500,4514,4690,4595,4695
University Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,1199,,,,,1150,,1175,,,1225,1237.5,,1260,,1232.5,1250,1272.5,1250,1250,1250,1275,1286.5,1300,1325,1300,1295,,,1300,1300,,1362.5,1357.5,1300,1300,1407.5,1399,1350,,,1350,1350,,,1379,,1387,1495
Upper Carnegie Hill,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3612.5,3524.5,,,,,,4000,4000,3950,4047.5,3287.5,3287.5,3262.5,3350,3322.5,3550,3350,3525,,3500,4000,3525,3575,4050,3575,3550,4637.5,4650,4572.5,,,,,3600,,,,,,,,,,,,4595,4197.5,,3875,3860,,,,,,,,4375
Upper East Side,Manhattan,neighborhood,2350,2195,2250,2300,2350,2500,2500,2500,2500,2462,2500,2600,2600,2500,2400,2450,2550,2550,2495,2500,2597.5,2595,2595,2600,2572.5,2695,2550,2600,2535,2597.5,2575,2500,2600,2437.5,2437.5,2600,2500,2675,2662.5,2600,2600,2532,2400,2400,2400,2482.5,2500,2400,2350,2460,2450,2500,2450,2450,2500,2400,2450,2427.5,2470,2650,2750,2800,2750,2650,2637.5,2650,2650,2700,2800,2685,2662.5,2750,2700,2697.5,2897.5,2750,2700,2600,2600,2598,2695,2600,2695,2637.5,2600,2735,2750,2650,2625,2650
Upper West Side,Manhattan,neighborhood,2500,2400,2350,2400,2397,2450,2500,2535,2600,2600,2500,2500,2500,2600,2600,2600,2550,2595,2600,2650,2700,2700,2750,2875,2850,2795,2750,2700,2700,2750,2850,2800,2800,2800,2795,2800,2750,2700,2800,2800,2800,2700,2750,2800,2850,2800,2800,2750,2800,2800,2850,2875,2850,2800,2800,2800,2892.5,2850,2800,2825,2900,2922.5,2900,2850,2897,2895,2920,2980,2950,2975,2995,2950,2995,2950,2995,3000,3000,3000,3000,2964.5,3000,3000,2941.5,2900,2950,2928,2900,2900,2899,2885
Utopia,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nest,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1400,1387.5,1300,1375,1225,1300,1387.5,1387.5,1337.5,1249.5,1249,1249.5,,1250,,1400,1450,1450,1450,1450,1450,1450,,1450,1397.5,1397.5,1395,1375,1375,,,,1450,
Washington Heights,Manhattan,neighborhood,1387,1395,1395,1395,1350,1432.5,1467.5,1495,1425,1432.5,1432.5,1500,1495,1467.5,1425,1500,1500,1525,1500,1600,1600,1550,1600,1450,1512.5,1497.5,1600,1500,1500,1500,1497.5,1500,1495,1650,1500,1500,1600,1597.5,1525,1500,1595,1575,1550,1572.5,1650,1600,1600,1600,1550,1585,1500,1500,1550,1600,1700,1650,1650,1650,1625,1600,1600,1625,1650,1699,1695,1700,1700,1700,1750,1702.5,1700,1750,1750,1750,1700,1700,1700,1700,1725,1785,1750,1750,1750,1750,1800,1787,1750,1800,1800,1800
West Harlem,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1600,,,,,,,,,,,,1750,1750,1750,1750,1800,,1900,1750,1750,1750,1750,,1850,1850,1750,1850,1850,1799.5,1850,1850,1900,,,1950,2050,2000,,,,1887.5,1850,1935,2000,1850,1895,1800
West Village,Manhattan,neighborhood,3272.5,3100,3000,3000,3000,3000,3250,3000,3150,2900,2895,3100,3295,3347.5,3200,3500,3500,3545,3300,3495,3395,3400,3325,3300,3250,3300,3300,3295,3400,3300,3400,3200,3397.5,3400,3495,3495,3325,3300,3495,3400,3500,3500,3500,3500,3500,3495,3400,3500,3400,3595,3500,3595,3500,3525,3500,3500,3500,3500,3500,3500,3595,3500,3500,3500,3595,3500,3500,3695,3625,3595,3595,3650,3695,3800,3872,3795,3797.5,3795,3750,3695,3650,3650,3595,3595,3500,3550,3525,3550,3685,3699
Westchester Village,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitestone,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsbridge,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,1287,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg,Brooklyn,neighborhood,2400,2350,2350,2425,2365,2520,2558,2500,2550,2550,2600,2600,2617,2500,2700,2800,2700,2900,2850,2600,2700,2700,2750,2800,2887,2871,2862,2900,3000,3000,2975,3095,3138,3100,3050,3100,3025,2950,2900,2900,2950,3075,3115,3000,3000,2918,2947.5,2887.5,2900,2922.5,2956.5,3000,3000,3150,3200,3200,3117.5,3000,3000,3045,2997,3000,2990.5,3050,2943,3099,3098,3080.5,2933,3000,3057,3150,3070,2999.5,2931,2900,2900,2900,2995,2950,2875,2930,2900,2900,2885,2875,2850,2799,2700,2797
Windsor Terrace,Brooklyn,neighborhood,,,,1797.5,1800,1800,1725,1700,1700,1750,1700,1650,,1700,1550,1700,,,1950,1875,,,,,1950,,,,,1850,1800,1850,1700,1895,1925,1950,1800,1800,,1900,1895,1872.5,2100,2000,,2250,2200,2200,2100,2125,2100,2075,2000,2050,2000,2100,2200,2200,2225,2300,2225,2250,2250,2300,2100,2300,2250,2300,2500,2500,2195,2225,2225,2200,2150,2200,2100,2162.5,2097.5,2095,2095,2047.5,2000,2100,2100,2100,2100,2100,2197.5,2100
Woodhaven,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1575,,1700,1700,1700,1625,1675,,,,,,1500,1600,1550,,,,,,,,,,,,,,1487.5,,,1699
Woodlawn,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodside,Queens,neighborhood,,,,,,,,,,,,,,,,,,1350,,,,,,,,,,,,,,,,,,,,,1575,,,,,1597.5,1500,1500,1500,1497.5,1650,1675,1700,1725,1700,1650,1650,1650,1650,1650,1700,1675,1700,1645,1800,1875,1725,1600,1650,1585,1585,1575,1600,1675,1650,1700,1750,1700,1695,1700,1700,1700,1660,1700,1700,1725,1725,1725,1700,1750,1700,1725
Woodstock,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkville,Manhattan,neighborhood,2000,2050,2100,2200,2200,2100,2200,2200,2250,2200,2195,2095,2095,2000,2000,2255,2400,2450,2400,2400,2450,2485,2500,2450,2295,2300,2337.5,2400,2450,2397.5,2400,2350,2400,2400,2400,2400,2397.5,2500,2595,2450,2495,2450,2400,2500,2600,2595,2500,2600,2500,2500,2495,2495,2500,2450,2400,2450,2499.5,2500,2495,2550,2550,2570,2600,2550,2550,2595,2600,2600,2700,2695,2550,2554.5,2692.5,2800,2700,2650,2650,2650,2595,2500,2550,2500,2500,2642.5,2597,2672,2700,2700,2650,2600